id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado_BA,mandante_estado_CE,mandante_estado_DF,mandante_estado_GO,mandante_estado_MG,mandante_estado_MT,mandante_estado_PA,mandante_estado_PE,mandante_estado_PR,mandante_estado_RJ,mandante_estado_RN,mandante_estado_RS,mandante_estado_SC,mandante_estado_SP,visitante_estado_BA,visitante_estado_CE,visitante_estado_DF,visitante_estado_GO,visitante_estado_MG,visitante_estado_MT,visitante_estado_PA,visitante_estado_PE,visitante_estado_PR,visitante_estado_RJ,visitante_estado_RN,visitante_estado_RS,visitante_estado_SC,visitante_estado_SP
1,1,2003-03-29,16:00,Guarani,Vasco,ausente,ausente,ausente,ausente,Guarani, Brinco de Ouro,4,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,2003-03-29,16:00,Athletico-PR,Gremio,ausente,ausente,ausente,ausente,Athletico-PR, Arena da Baixada,2,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,1,2003-03-30,16:00,Flamengo,Coritiba,ausente,ausente,ausente,ausente,ausente, Maracanã,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,1,2003-03-30,16:00,Goias,Paysandu,ausente,ausente,ausente,ausente,ausente, Serra Dourada,2,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,1,2003-03-30,16:00,Internacional,Ponte Preta,ausente,ausente,ausente,ausente,ausente, Beira Rio,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,1,2003-03-30,16:00,Criciuma,Fluminense,ausente,ausente,ausente,ausente,Criciuma, Heriberto Hulse,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7,1,2003-03-30,16:00,Juventude,Sao Paulo,ausente,ausente,ausente,ausente,ausente, Alfredo Jaconi,2,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,1,2003-03-30,16:00,Fortaleza,Bahia,ausente,ausente,ausente,ausente,ausente, Castelão,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1,2003-03-30,16:00,Cruzeiro,Sao Caetano,ausente,ausente,ausente,ausente,ausente, Mineirão,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,1,2003-03-30,16:00,Vitoria,Figueirense,ausente,ausente,ausente,ausente,ausente, Barradão,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
